#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
16.9%	16935000	-866.9520254439923	297.5749178436416	1.15e+03	3:28:00
16.9%	16940000	-802.2999512249478	324.1952578198342	1.15e+03	3:27:59
16.9%	16945000	-817.8040938156244	273.6122768002759	1.15e+03	3:27:58
16.9%	16950000	-821.8770801363293	329.24056560749784	1.15e+03	3:27:58
17.0%	16955000	-853.0946792668382	294.08613309113287	1.15e+03	3:27:57
17.0%	16960000	-865.402963815551	312.061705760866	1.15e+03	3:27:56
17.0%	16965000	-885.1719634994555	309.58205531297267	1.15e+03	3:27:55
17.0%	16970000	-811.1869478906829	324.50069636665023	1.15e+03	3:27:55
17.0%	16975000	-796.5110124887503	303.9923678786453	1.15e+03	3:27:54
17.0%	16980000	-914.1332024429762	274.28743586153934	1.15e+03	3:27:53
17.0%	16985000	-827.4091356543739	313.1288723973708	1.15e+03	3:27:52
17.0%	16990000	-827.7093708518936	306.1333475896662	1.15e+03	3:27:52
17.0%	16995000	-861.2101940367601	296.5928652939079	1.15e+03	3:27:51
17.0%	17000000	-857.4360437128969	304.0933209893338	1.15e+03	3:27:50
17.0%	17005000	-935.5736667997572	322.39519739187847	1.15e+03	3:27:50
17.0%	17010000	-868.7429484969955	298.01569903115467	1.15e+03	3:27:49
17.0%	17015000	-826.035966604907	311.84756480285137	1.15e+03	3:27:48
17.0%	17020000	-803.5202548645742	278.0378621103869	1.15e+03	3:27:47
17.0%	17025000	-838.259688972825	317.22846810980013	1.15e+03	3:27:47
17.0%	17030000	-851.2409685513369	290.040700888467	1.15e+03	3:27:46
17.0%	17035000	-740.9716942276423	279.77357443699975	1.15e+03	3:27:45
17.0%	17040000	-894.7319191252338	325.7240708298476	1.15e+03	3:27:44
17.0%	17045000	-806.4336026517748	315.97778042373056	1.15e+03	3:27:44
17.1%	17050000	-775.6307713628476	289.329961890387	1.15e+03	3:27:43
17.1%	17055000	-796.7695265227287	277.93304017757254	1.15e+03	3:27:42
17.1%	17060000	-877.112192502731	354.85048167169964	1.15e+03	3:27:41
17.1%	17065000	-867.9862006870051	318.4430798562165	1.15e+03	3:27:41
17.1%	17070000	-895.7997239141769	293.0395671057774	1.15e+03	3:27:40
17.1%	17075000	-842.9536257134777	305.9254893342493	1.15e+03	3:27:39
17.1%	17080000	-870.248473437148	306.92377771016976	1.15e+03	3:27:38
17.1%	17085000	-789.7409199255846	287.17241568462157	1.15e+03	3:27:38
17.1%	17090000	-861.5694194807387	333.33692076806096	1.15e+03	3:27:37
17.1%	17095000	-905.6886553270366	289.90476304436595	1.15e+03	3:27:36
17.1%	17100000	-816.7022712092036	285.59036503680653	1.15e+03	3:27:35
17.1%	17105000	-863.9344599885874	296.1085681241917	1.15e+03	3:27:35
17.1%	17110000	-883.4114146766278	292.57501084896035	1.15e+03	3:27:34
17.1%	17115000	-871.2698203248751	283.656416909808	1.15e+03	3:27:33
17.1%	17120000	-868.4682194856592	274.2275021854428	1.15e+03	3:27:33
17.1%	17125000	-765.1247086750462	328.3503066494022	1.15e+03	3:27:32
17.1%	17130000	-833.8871722554593	338.42144584667665	1.15e+03	3:27:31
17.1%	17135000	-944.3345736533864	274.3862065597465	1.15e+03	3:27:30
17.1%	17140000	-887.4222358743289	277.4959955447623	1.15e+03	3:27:30
17.1%	17145000	-916.185503219967	294.3703096496841	1.15e+03	3:27:29
17.1%	17150000	-824.1180586395997	291.42094451547246	1.15e+03	3:27:28
17.2%	17155000	-784.3040270151942	292.9933727082563	1.15e+03	3:27:27
17.2%	17160000	-855.4584392508078	331.1638331400802	1.15e+03	3:27:27
17.2%	17165000	-880.8140812001526	297.34563226568093	1.15e+03	3:27:26
17.2%	17170000	-856.2869907925551	274.6031747339301	1.15e+03	3:27:25
17.2%	17175000	-834.998123762562	273.5351152923193	1.15e+03	3:27:24
17.2%	17180000	-790.2908467314467	265.14013501440246	1.15e+03	3:27:24
17.2%	17185000	-846.8828258721811	293.9299583312961	1.15e+03	3:27:23
17.2%	17190000	-815.4525168204141	303.85557029629405	1.15e+03	3:27:22
17.2%	17195000	-842.5962503731488	278.3622810324193	1.15e+03	3:27:21
17.2%	17200000	-857.4082021563604	306.05239992672307	1.15e+03	3:27:21
17.2%	17205000	-849.8042475273909	286.6581599435711	1.15e+03	3:27:20
17.2%	17210000	-888.276260387182	293.5111996697308	1.15e+03	3:27:19
17.2%	17215000	-818.6178583527757	288.78849212703165	1.15e+03	3:27:18
17.2%	17220000	-898.1262853629826	288.11945043408707	1.15e+03	3:27:18
17.2%	17225000	-816.4194289362977	307.7204243995595	1.15e+03	3:27:17
17.2%	17230000	-910.535216242075	274.1149756752322	1.15e+03	3:27:16
17.2%	17235000	-811.0920266313045	303.4811212214705	1.15e+03	3:27:16
17.2%	17240000	-865.3681893653567	305.6460082692185	1.15e+03	3:27:15
17.2%	17245000	-844.852460934204	299.9745795674093	1.15e+03	3:27:14
17.2%	17250000	-835.5876780241335	297.6817568546585	1.15e+03	3:27:13
17.3%	17255000	-874.1071265618117	313.7785699796857	1.15e+03	3:27:13
17.3%	17260000	-814.0958846807125	306.73678464074845	1.15e+03	3:27:12
17.3%	17265000	-865.3543457265428	335.92102941335514	1.15e+03	3:27:11
17.3%	17270000	-808.5968800428194	287.9189991543643	1.15e+03	3:27:10
17.3%	17275000	-863.8545015155629	305.70513180734855	1.15e+03	3:27:10
17.3%	17280000	-823.4973427375435	298.12190977191176	1.15e+03	3:27:09
17.3%	17285000	-806.0919811560639	343.46976271821603	1.15e+03	3:27:08
17.3%	17290000	-798.8535820888115	322.79877836664195	1.15e+03	3:27:07
17.3%	17295000	-820.2089179736637	258.126175434602	1.15e+03	3:27:07
17.3%	17300000	-817.3955254689193	304.91642116334543	1.15e+03	3:27:06
17.3%	17305000	-912.6558777765482	289.9148484353781	1.15e+03	3:27:05
17.3%	17310000	-818.1351689207186	325.6350548540948	1.15e+03	3:27:04
17.3%	17315000	-817.5865206841155	294.1849699230516	1.15e+03	3:27:04
17.3%	17320000	-860.1971927448009	272.255709042007	1.15e+03	3:27:03
17.3%	17325000	-787.7964446807811	361.7003469797047	1.15e+03	3:27:02
17.3%	17330000	-841.0131622155221	289.9338618774501	1.15e+03	3:27:01
17.3%	17335000	-823.5166226935461	321.17377387317197	1.15e+03	3:27:01
17.3%	17340000	-843.02925626737	307.95116491917435	1.15e+03	3:27:00
17.3%	17345000	-803.4551924015256	278.36889440357476	1.15e+03	3:26:59
17.4%	17350000	-861.0323076511141	303.5726172114067	1.15e+03	3:26:58
17.4%	17355000	-871.1960025923341	349.7086517320216	1.15e+03	3:26:58
17.4%	17360000	-875.0151984369447	288.08393663098207	1.15e+03	3:26:57
17.4%	17365000	-859.9402528222965	318.8388239861607	1.15e+03	3:26:56
17.4%	17370000	-835.8110472944301	272.1408843853199	1.15e+03	3:26:55
17.4%	17375000	-809.2951616891545	296.71861854642947	1.15e+03	3:26:55
17.4%	17380000	-895.308697197269	303.6970477896971	1.15e+03	3:26:54
17.4%	17385000	-889.3549382930137	289.652793603342	1.15e+03	3:26:53
17.4%	17390000	-879.1571380511955	293.4209271534584	1.15e+03	3:26:52
17.4%	17395000	-816.2796116614254	292.0827776338576	1.15e+03	3:26:52
17.4%	17400000	-831.8903997324759	310.52479137118706	1.15e+03	3:26:51
17.4%	17405000	-848.3241419599301	289.40280817366465	1.15e+03	3:26:50
17.4%	17410000	-815.5257775018916	321.1502633387143	1.15e+03	3:26:49
17.4%	17415000	-850.604689245332	306.3177283774811	1.15e+03	3:26:49
17.4%	17420000	-792.1058260921606	300.7649435542013	1.15e+03	3:26:48
17.4%	17425000	-835.1402572469948	343.8285711702569	1.15e+03	3:26:47
17.4%	17430000	-804.3053741099823	298.93446161893047	1.15e+03	3:26:46
17.4%	17435000	-813.2121250841011	337.766821302851	1.15e+03	3:26:46
17.4%	17440000	-885.3516258802873	285.9954340200799	1.15e+03	3:26:45
17.4%	17445000	-826.8884978194003	296.50788347455995	1.15e+03	3:26:44
17.4%	17450000	-785.240209387545	311.47880322722153	1.15e+03	3:26:43
17.5%	17455000	-799.6853789378789	310.7913763624647	1.15e+03	3:26:43
17.5%	17460000	-815.8177439058821	304.6403459844597	1.15e+03	3:26:42
17.5%	17465000	-884.5372088805199	271.1704052351083	1.15e+03	3:26:41
17.5%	17470000	-814.0712655282902	269.6018458644504	1.15e+03	3:26:40
17.5%	17475000	-846.3317222163163	318.85367100440476	1.15e+03	3:26:40
17.5%	17480000	-811.417865159307	318.1611518438582	1.15e+03	3:26:39
17.5%	17485000	-888.7940428012913	285.04846540432607	1.15e+03	3:26:38
17.5%	17490000	-860.0954815968115	314.58140017110577	1.15e+03	3:26:37
17.5%	17495000	-821.1286165231006	281.7212783760016	1.15e+03	3:26:37
17.5%	17500000	-803.3557874135247	303.5231491951637	1.15e+03	3:26:36
17.5%	17505000	-886.4778817364412	269.3333429955377	1.15e+03	3:26:35
17.5%	17510000	-836.2330394957771	291.524708308902	1.15e+03	3:26:34
17.5%	17515000	-873.3672831452143	253.70667442595396	1.15e+03	3:26:34
17.5%	17520000	-774.2045186147091	307.82319618731566	1.15e+03	3:26:33
17.5%	17525000	-856.358083954241	279.31616062103063	1.15e+03	3:26:32
17.5%	17530000	-826.7868044837365	274.90062763507586	1.15e+03	3:26:31
17.5%	17535000	-747.6235285200709	281.78536194249824	1.15e+03	3:26:31
17.5%	17540000	-859.8634216871376	294.60382778518425	1.15e+03	3:26:30
17.5%	17545000	-864.1324172376784	331.3146180024252	1.15e+03	3:26:29
17.6%	17550000	-849.9267126822243	281.2545066398475	1.15e+03	3:26:28
17.6%	17555000	-825.3876494289185	273.8022293532893	1.15e+03	3:26:28
17.6%	17560000	-813.8723968891178	276.63381034722175	1.15e+03	3:26:27
17.6%	17565000	-858.8615876032748	280.7858831597698	1.15e+03	3:26:26
17.6%	17570000	-798.2068788137655	281.6231028811984	1.15e+03	3:26:25
17.6%	17575000	-792.1600807964845	274.3176755011478	1.15e+03	3:26:25
17.6%	17580000	-814.8667034494374	319.78949608976166	1.15e+03	3:26:24
17.6%	17585000	-829.7938040619744	281.4791959248551	1.15e+03	3:26:23
17.6%	17590000	-834.6501223987524	307.9347968255645	1.15e+03	3:26:22
17.6%	17595000	-830.5856794164985	309.0967661375832	1.15e+03	3:26:22
17.6%	17600000	-823.5099998228944	319.2510354102821	1.15e+03	3:26:21
17.6%	17605000	-862.2993158735479	289.5728379460722	1.15e+03	3:26:20
17.6%	17610000	-875.048772793543	302.1574549847002	1.15e+03	3:26:19
17.6%	17615000	-857.5909183406754	271.6368132358489	1.15e+03	3:26:19
17.6%	17620000	-826.4796084835153	302.99811365912973	1.15e+03	3:26:18
17.6%	17625000	-842.8998224294733	283.6008315252462	1.15e+03	3:26:17
17.6%	17630000	-833.8153052600929	299.2467780717482	1.15e+03	3:26:16
17.6%	17635000	-873.8723318783271	311.9154510577624	1.15e+03	3:26:16
17.6%	17640000	-839.8199003605682	266.5063913614141	1.15e+03	3:26:15
17.6%	17645000	-814.1380691189744	269.11857376726334	1.15e+03	3:26:14
17.6%	17650000	-895.2489812859336	279.73644035796167	1.15e+03	3:26:13
17.7%	17655000	-915.009641080724	291.81910252588847	1.15e+03	3:26:13
17.7%	17660000	-831.3984826524197	317.8863001386362	1.15e+03	3:26:12
17.7%	17665000	-917.3859500755876	284.81164058324816	1.15e+03	3:26:11
17.7%	17670000	-941.019215720667	334.76487986795325	1.15e+03	3:26:10
17.7%	17675000	-859.1983671423876	280.1753698015512	1.15e+03	3:26:10
17.7%	17680000	-719.924453649387	289.4050897867133	1.15e+03	3:26:09
17.7%	17685000	-857.5797393933528	340.7700854119798	1.15e+03	3:26:08
17.7%	17690000	-845.5129971913249	291.2984648816729	1.15e+03	3:26:07
17.7%	17695000	-865.7783453961396	311.9246105768128	1.15e+03	3:26:07
17.7%	17700000	-996.4083015233695	276.3687794981657	1.15e+03	3:26:06
17.7%	17705000	-824.9478832323257	278.76483693465366	1.15e+03	3:26:05
17.7%	17710000	-883.851903187572	310.99503512719787	1.15e+03	3:26:04
17.7%	17715000	-886.4733063616173	275.424158629172	1.15e+03	3:26:04
17.7%	17720000	-892.6178671973074	306.27341879073936	1.15e+03	3:26:03
17.7%	17725000	-883.4204070412133	263.73866246598794	1.15e+03	3:26:02
17.7%	17730000	-836.0483651692298	302.8103269851697	1.15e+03	3:26:01
17.7%	17735000	-836.3729668969796	325.7525083258162	1.15e+03	3:26:01
17.7%	17740000	-830.399006416273	262.5380710664212	1.15e+03	3:26:00
17.7%	17745000	-847.2730483846099	310.5060424639613	1.15e+03	3:25:59
17.8%	17750000	-933.2242388958854	275.7900929886328	1.15e+03	3:25:58
17.8%	17755000	-883.0611050310488	274.8259626747305	1.15e+03	3:25:57
17.8%	17760000	-807.435559129133	294.5105131181803	1.15e+03	3:25:57
17.8%	17765000	-902.6405619816297	316.7926138837979	1.15e+03	3:25:56
17.8%	17770000	-895.1733026463212	308.9614234968862	1.15e+03	3:25:55
17.8%	17775000	-892.1936461267678	289.8898498924103	1.15e+03	3:25:54
17.8%	17780000	-819.6300307292647	274.9581804975565	1.15e+03	3:25:54
17.8%	17785000	-879.4696493097038	279.99373356276584	1.15e+03	3:25:53
17.8%	17790000	-915.1018362665191	291.333813350499	1.15e+03	3:25:52
17.8%	17795000	-782.3238764435366	312.95652794505884	1.15e+03	3:25:51
17.8%	17800000	-925.4741916907171	276.37516140133073	1.15e+03	3:25:51
17.8%	17805000	-866.520211182275	269.72673937872173	1.15e+03	3:25:50
17.8%	17810000	-864.996601723031	295.97170440812897	1.15e+03	3:25:49
17.8%	17815000	-948.938957699901	319.71572393452226	1.15e+03	3:25:48
17.8%	17820000	-857.9344692133642	263.1616788995276	1.15e+03	3:25:48
17.8%	17825000	-802.214576714473	314.65709020398026	1.15e+03	3:25:47
17.8%	17830000	-793.5534341017083	306.42145910405486	1.15e+03	3:25:46
17.8%	17835000	-892.1410822307247	313.0079469057928	1.15e+03	3:25:46
17.8%	17840000	-782.0304499368768	278.69926535964703	1.15e+03	3:25:45
17.8%	17845000	-805.9610766229512	287.11028306261585	1.15e+03	3:25:45
17.9%	17850000	-838.1737872256383	285.0527310287214	1.15e+03	3:25:44
17.9%	17855000	-828.6563027724594	297.0827838291062	1.15e+03	3:25:43
17.9%	17860000	-860.5609747247374	266.2298532465475	1.15e+03	3:25:43
17.9%	17865000	-906.4921699400514	311.6962839376697	1.15e+03	3:25:42
17.9%	17870000	-854.1015858756068	293.0178421815316	1.15e+03	3:25:41
17.9%	17875000	-815.6180033980468	302.77375504267985	1.15e+03	3:25:41
17.9%	17880000	-856.3404156644103	315.3541064569126	1.15e+03	3:25:40
17.9%	17885000	-843.8903252971148	292.4128179213721	1.15e+03	3:25:40
17.9%	17890000	-814.8670076906005	264.01252216553655	1.15e+03	3:25:39
17.9%	17895000	-789.6490565696305	303.06914126533957	1.15e+03	3:25:38
17.9%	17900000	-870.0683041876534	313.46390578010767	1.15e+03	3:25:38
17.9%	17905000	-763.9938025847182	306.51712151781896	1.15e+03	3:25:37
17.9%	17910000	-807.8370683230254	293.90003282681755	1.15e+03	3:25:37
17.9%	17915000	-848.6336116473929	308.8610986564575	1.15e+03	3:25:36
17.9%	17920000	-849.178671425299	292.2881228082354	1.15e+03	3:25:35
17.9%	17925000	-879.2777554305218	326.25968775973035	1.15e+03	3:25:35
17.9%	17930000	-798.1890251980589	302.76003229753223	1.15e+03	3:25:34
17.9%	17935000	-870.3435796134098	278.25547508825815	1.15e+03	3:25:34
17.9%	17940000	-805.5163453621159	304.4207489952418	1.15e+03	3:25:33
17.9%	17945000	-788.3470452853215	316.58716950885275	1.15e+03	3:25:32
17.9%	17950000	-741.4164001946356	304.7012220659459	1.15e+03	3:25:32
18.0%	17955000	-840.7188661633112	294.17359492466414	1.15e+03	3:25:31
18.0%	17960000	-826.6714216061712	301.46159607172007	1.15e+03	3:25:31
18.0%	17965000	-846.2516217702375	340.4105494891119	1.15e+03	3:25:30
18.0%	17970000	-851.9089903205805	296.84996009757737	1.15e+03	3:25:29
18.0%	17975000	-880.8177429919893	307.459460773764	1.15e+03	3:25:29
18.0%	17980000	-832.2227618706996	299.4785105970364	1.15e+03	3:25:28
18.0%	17985000	-847.6216335328525	321.33437959168293	1.15e+03	3:25:28
18.0%	17990000	-872.3241028454597	337.148041230688	1.15e+03	3:25:27
18.0%	17995000	-887.2173682227597	327.7960730797168	1.15e+03	3:25:26
18.0%	18000000	-817.2625350137463	325.9509425273365	1.15e+03	3:25:26
18.0%	18005000	-782.56037169002	305.9281346827115	1.15e+03	3:25:25
18.0%	18010000	-823.4732247386703	292.0800000179723	1.15e+03	3:25:25
18.0%	18015000	-864.5664330570335	246.09691623875577	1.15e+03	3:25:24
18.0%	18020000	-854.7083662062822	340.165987023782	1.15e+03	3:25:23
18.0%	18025000	-841.1883949974723	295.31433531527375	1.15e+03	3:25:23
18.0%	18030000	-855.1024355925907	292.72235675830456	1.15e+03	3:25:22
18.0%	18035000	-795.2715837172198	315.00703673867275	1.15e+03	3:25:22
18.0%	18040000	-874.6946334534109	303.9286480475622	1.15e+03	3:25:21
18.0%	18045000	-797.0548438220433	312.9017692318914	1.15e+03	3:25:20
18.1%	18050000	-819.9123850186755	293.14726585504445	1.15e+03	3:25:20
18.1%	18055000	-937.0651670385906	320.73487749643823	1.15e+03	3:25:19
18.1%	18060000	-936.2854772950849	280.8244391136063	1.15e+03	3:25:19
18.1%	18065000	-857.3069418189793	266.43939791160903	1.15e+03	3:25:18
18.1%	18070000	-815.732473574971	303.50284614571626	1.15e+03	3:25:18
18.1%	18075000	-894.2205566833148	312.51022459263095	1.15e+03	3:25:17
18.1%	18080000	-884.4005098137139	273.4304752272116	1.15e+03	3:25:16
18.1%	18085000	-815.405751272568	311.62456192748846	1.15e+03	3:25:16
18.1%	18090000	-870.7872892325603	314.6750785735232	1.15e+03	3:25:15
18.1%	18095000	-928.3030564020195	297.2761257348368	1.15e+03	3:25:15
18.1%	18100000	-887.4514185282878	285.32520192032734	1.15e+03	3:25:14
18.1%	18105000	-847.2839406777214	285.62048894241974	1.15e+03	3:25:13
18.1%	18110000	-862.4972376623858	316.84826540207126	1.15e+03	3:25:13
18.1%	18115000	-841.0796435358434	316.40953435961643	1.15e+03	3:25:12
18.1%	18120000	-836.0579496322913	307.7351391503804	1.15e+03	3:25:11
18.1%	18125000	-870.8546317101502	303.5372687425806	1.15e+03	3:25:11
18.1%	18130000	-799.113029963291	300.6805900051131	1.15e+03	3:25:10
18.1%	18135000	-902.7701809924275	322.33008875285276	1.15e+03	3:25:10
18.1%	18140000	-775.4339817177215	308.00476629238955	1.15e+03	3:25:09
18.1%	18145000	-800.0531531563827	305.99853401866164	1.15e+03	3:25:09
18.1%	18150000	-880.7553682086273	270.2221304785512	1.15e+03	3:25:08
18.2%	18155000	-833.1133194540575	302.5530007135098	1.15e+03	3:25:07
18.2%	18160000	-855.9128914209066	273.4150495389914	1.15e+03	3:25:07
18.2%	18165000	-865.2094765623677	308.7692719979636	1.15e+03	3:25:06
18.2%	18170000	-903.5750777130992	335.77090588812564	1.15e+03	3:25:06
18.2%	18175000	-851.6316885890387	285.3888556176989	1.15e+03	3:25:05
18.2%	18180000	-885.8518382185715	319.49586241045813	1.15e+03	3:25:04
18.2%	18185000	-880.318266449103	302.9801914232983	1.15e+03	3:25:04
18.2%	18190000	-923.5897737692814	295.9297756350032	1.15e+03	3:25:03
18.2%	18195000	-838.3329485802111	285.2190573132818	1.15e+03	3:25:02
18.2%	18200000	-839.3516399954665	288.41827560974764	1.15e+03	3:25:02
18.2%	18205000	-786.8233847581016	293.3460637919783	1.15e+03	3:25:01
18.2%	18210000	-852.760012967232	296.23349470531883	1.15e+03	3:25:00
18.2%	18215000	-719.2363466061164	330.09861744806625	1.15e+03	3:25:00
18.2%	18220000	-836.1563565876256	304.38807894173374	1.15e+03	3:24:59
18.2%	18225000	-860.6563870465723	284.1548336269412	1.15e+03	3:24:59
18.2%	18230000	-871.0550773805641	286.4000070005168	1.15e+03	3:24:58
18.2%	18235000	-842.8853012748322	313.6910750792986	1.15e+03	3:24:57
18.2%	18240000	-854.9467209488932	324.36416331914523	1.15e+03	3:24:57
18.2%	18245000	-867.090790085728	339.778079738657	1.15e+03	3:24:56
18.2%	18250000	-886.5973992952238	251.23944058240505	1.15e+03	3:24:56
18.3%	18255000	-898.2923611936768	254.55824516278997	1.15e+03	3:24:55
18.3%	18260000	-818.8208648042031	350.0308221078611	1.15e+03	3:24:54
18.3%	18265000	-829.7944066303374	343.94903372585406	1.15e+03	3:24:54
18.3%	18270000	-810.2484170692784	333.5810864311215	1.15e+03	3:24:53
18.3%	18275000	-797.0368772432505	258.3755491274474	1.15e+03	3:24:53
18.3%	18280000	-859.3710635245694	318.3949675810603	1.15e+03	3:24:52
18.3%	18285000	-891.0748283642619	278.69804188598323	1.15e+03	3:24:51
18.3%	18290000	-787.3454910339572	306.0070652674522	1.15e+03	3:24:51
18.3%	18295000	-858.7982885499675	317.27747319006227	1.15e+03	3:24:50
18.3%	18300000	-874.7198232274422	310.75596175992706	1.15e+03	3:24:50
18.3%	18305000	-866.7145882254486	294.495996768494	1.15e+03	3:24:49
18.3%	18310000	-894.1202462696893	277.98879089641326	1.15e+03	3:24:48
18.3%	18315000	-854.40384582375	261.0420769107668	1.15e+03	3:24:48
18.3%	18320000	-828.5344616274837	337.87372644757943	1.15e+03	3:24:47
18.3%	18325000	-815.2226048478564	288.5632737723316	1.15e+03	3:24:47
18.3%	18330000	-913.5826083207141	343.4199309665595	1.15e+03	3:24:46
18.3%	18335000	-856.8547372990689	314.8954691672797	1.15e+03	3:24:45
18.3%	18340000	-859.2755602380727	314.6148307622967	1.15e+03	3:24:45
18.3%	18345000	-835.3806640959125	299.788181701392	1.15e+03	3:24:44
18.4%	18350000	-859.6502756658596	289.50713410364244	1.15e+03	3:24:43
18.4%	18355000	-845.1793037908664	327.5470796557128	1.15e+03	3:24:43
18.4%	18360000	-880.340132364481	270.05132363503293	1.15e+03	3:24:42
18.4%	18365000	-822.9514303219723	303.2657898566479	1.15e+03	3:24:42
18.4%	18370000	-797.7850028062127	305.24576704688855	1.15e+03	3:24:41
18.4%	18375000	-828.5074509265947	322.71713629972754	1.15e+03	3:24:40
18.4%	18380000	-856.5668363152441	312.352892492842	1.15e+03	3:24:40
18.4%	18385000	-806.5679641163364	286.9648550309067	1.15e+03	3:24:39
18.4%	18390000	-857.4352274769475	275.2445725354448	1.15e+03	3:24:39
18.4%	18395000	-841.9412817877588	295.78391773416894	1.15e+03	3:24:38
18.4%	18400000	-790.9564958900344	312.5039088231775	1.15e+03	3:24:37
18.4%	18405000	-804.626940846097	296.39148814222335	1.15e+03	3:24:37
18.4%	18410000	-837.2519933742423	264.43612512147325	1.15e+03	3:24:36
18.4%	18415000	-769.4715141623742	293.6418468169074	1.15e+03	3:24:36
18.4%	18420000	-808.3948265247361	328.7820936521438	1.15e+03	3:24:35
18.4%	18425000	-872.0867208591844	302.5346816754091	1.15e+03	3:24:34
18.4%	18430000	-848.9448190685442	307.63650071959637	1.15e+03	3:24:34
18.4%	18435000	-790.584291882646	272.56911670106547	1.15e+03	3:24:33
18.4%	18440000	-826.583366130983	268.70212978560244	1.15e+03	3:24:33
18.4%	18445000	-799.5102983102698	306.18853617195873	1.15e+03	3:24:32
18.4%	18450000	-879.5153727929874	317.2288979789252	1.15e+03	3:24:31
18.5%	18455000	-791.4964188493024	306.59099287362574	1.15e+03	3:24:31
18.5%	18460000	-788.4763044745381	326.72073892983497	1.15e+03	3:24:30
18.5%	18465000	-872.3265845945011	312.0294986433388	1.15e+03	3:24:30
18.5%	18470000	-769.5768719439961	285.25467031695405	1.15e+03	3:24:29
18.5%	18475000	-811.5969294165258	305.67702497993776	1.15e+03	3:24:28
18.5%	18480000	-888.3376358080834	298.91610951397394	1.15e+03	3:24:28
18.5%	18485000	-782.9235901331917	302.6891700256012	1.15e+03	3:24:27
18.5%	18490000	-787.1084846236575	269.3684930632291	1.15e+03	3:24:27
18.5%	18495000	-802.5827117192803	291.61091360191375	1.15e+03	3:24:26
18.5%	18500000	-775.1161419571503	325.9085508182299	1.15e+03	3:24:25
18.5%	18505000	-856.0513901657199	313.9914874640365	1.15e+03	3:24:25
18.5%	18510000	-871.669290247045	327.4587250170755	1.15e+03	3:24:24
18.5%	18515000	-839.9759896373371	318.9980739635848	1.15e+03	3:24:23
18.5%	18520000	-791.4261805713395	311.4666676911512	1.15e+03	3:24:23
18.5%	18525000	-826.4619600617636	310.12673256133843	1.15e+03	3:24:22
18.5%	18530000	-883.8430153882372	306.36104595854954	1.15e+03	3:24:21
18.5%	18535000	-804.1072088889925	333.0205370919826	1.15e+03	3:24:21
18.5%	18540000	-891.1993973350047	301.1317211184845	1.15e+03	3:24:20
18.5%	18545000	-818.8520776526414	310.650048620872	1.15e+03	3:24:20
18.6%	18550000	-902.6624591241126	292.95527969040074	1.15e+03	3:24:19
18.6%	18555000	-856.623694201073	291.0201411565943	1.15e+03	3:24:18
18.6%	18560000	-765.1735406723043	280.2276154336796	1.15e+03	3:24:18
18.6%	18565000	-788.5908494162636	266.35124167410646	1.15e+03	3:24:17
18.6%	18570000	-784.6780790931061	275.74553540047276	1.15e+03	3:24:16
18.6%	18575000	-751.8513745406273	316.7901338696146	1.15e+03	3:24:16
18.6%	18580000	-809.0303321749035	329.9251156558021	1.15e+03	3:24:15
18.6%	18585000	-865.1489253872709	294.552607225585	1.15e+03	3:24:15
18.6%	18590000	-839.0759694488199	261.13879746391575	1.15e+03	3:24:14
18.6%	18595000	-815.09987262409	334.2373973845918	1.15e+03	3:24:13
18.6%	18600000	-833.5026460374082	292.7945747713224	1.15e+03	3:24:13
18.6%	18605000	-849.6611528885362	276.2379008829986	1.15e+03	3:24:12
18.6%	18610000	-763.2656616643927	282.93889920629374	1.15e+03	3:24:11
18.6%	18615000	-814.0303598468919	338.32032740170933	1.15e+03	3:24:11
18.6%	18620000	-902.9969791786183	299.44696481662476	1.15e+03	3:24:10
18.6%	18625000	-844.4741815683595	316.26962849282216	1.15e+03	3:24:10
18.6%	18630000	-869.8141577919325	263.9256720688371	1.15e+03	3:24:09
18.6%	18635000	-870.1037572611251	318.1258364418878	1.15e+03	3:24:08
18.6%	18640000	-777.1816638494464	281.2637653594652	1.15e+03	3:24:08
18.6%	18645000	-850.1449197815879	277.0284798043532	1.15e+03	3:24:07
18.6%	18650000	-832.7535697317497	254.7393853987387	1.15e+03	3:24:07
18.7%	18655000	-826.834132419156	302.63246036794294	1.15e+03	3:24:06
18.7%	18660000	-874.7761492570695	287.96476368276024	1.15e+03	3:24:05
18.7%	18665000	-849.1866048602249	308.6840256437694	1.15e+03	3:24:05
18.7%	18670000	-845.434472080451	318.42833203853974	1.15e+03	3:24:04
18.7%	18675000	-803.5084235609729	279.57742184852805	1.15e+03	3:24:03
18.7%	18680000	-868.2394030250354	271.78052179105754	1.15e+03	3:24:03
18.7%	18685000	-833.1087509589624	318.50759329183825	1.15e+03	3:24:02
18.7%	18690000	-895.1727578065937	301.8792965939005	1.15e+03	3:24:02
18.7%	18695000	-768.3617178180905	285.18486618440795	1.15e+03	3:24:01
18.7%	18700000	-789.6675010810553	277.1640704464685	1.15e+03	3:24:01
18.7%	18705000	-890.8087259421308	305.0691900370371	1.15e+03	3:24:00
18.7%	18710000	-828.7338874329592	306.97536200518255	1.15e+03	3:23:59
18.7%	18715000	-861.521129267225	292.79153262059094	1.15e+03	3:23:59
18.7%	18720000	-785.0375899125548	327.14382934950714	1.15e+03	3:23:58
18.7%	18725000	-812.226527612642	280.78260954104786	1.15e+03	3:23:57
