#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.4%	435000	-847.0155648096612	286.0029732631972	1.15e+03	4:09:13
0.4%	440000	-912.5152910466309	293.6427396220134	1.15e+03	4:09:12
0.4%	445000	-878.8454509834235	268.9502800047841	1.15e+03	4:09:11
0.5%	450000	-896.7886995415006	328.44497705749296	1.15e+03	4:09:10
0.5%	455000	-855.265493979032	290.56477748568335	1.15e+03	4:09:10
0.5%	460000	-907.1233596753083	272.25727971765644	1.15e+03	4:09:09
0.5%	465000	-953.9448964354298	315.9228894431401	1.15e+03	4:09:08
0.5%	470000	-884.3444122127264	312.5565843244309	1.15e+03	4:09:07
0.5%	475000	-896.8271655630632	296.29132863607356	1.15e+03	4:09:06
0.5%	480000	-932.8394186248064	304.4459790062	1.15e+03	4:09:05
0.5%	485000	-872.8923037612487	301.0914787550034	1.15e+03	4:09:06
0.5%	490000	-947.7881602420684	305.53721831371075	1.15e+03	4:09:05
0.5%	495000	-882.3524265680702	355.2806814653639	1.15e+03	4:09:05
0.5%	500000	-850.0144457085732	307.74843202640295	1.15e+03	4:09:05
0.5%	505000	-924.3893196721046	306.65950739879656	1.15e+03	4:09:04
0.5%	510000	-900.991337603729	250.99765573296057	1.15e+03	4:09:04
0.5%	515000	-943.4169241216512	267.14091125692715	1.15e+03	4:09:03
0.5%	520000	-897.1732558711773	311.54526760733415	1.15e+03	4:09:02
0.5%	525000	-869.717594571111	287.263581006	1.15e+03	4:09:02
0.5%	530000	-912.3274006615447	294.2434321240661	1.15e+03	4:09:01
0.5%	535000	-950.0878070654447	331.46295591744274	1.15e+03	4:09:00
0.5%	540000	-960.1639870960445	283.4099365668431	1.15e+03	4:09:00
0.5%	545000	-898.5325458489847	286.0769107527155	1.15e+03	4:08:59
0.6%	550000	-949.2087359592922	307.56798619442554	1.15e+03	4:08:58
0.6%	555000	-876.6293333731899	320.1653670393836	1.15e+03	4:08:57
0.6%	560000	-916.2180154937467	298.79918511194495	1.15e+03	4:08:57
0.6%	565000	-854.5927487618428	354.3194941016257	1.15e+03	4:08:56
0.6%	570000	-942.1098093446615	300.67582837788115	1.15e+03	4:08:55
0.6%	575000	-894.2258196913842	325.4869153402119	1.15e+03	4:08:55
0.6%	580000	-909.7401584590342	325.692822651138	1.15e+03	4:08:54
0.6%	585000	-920.0855771721133	285.60947767944583	1.15e+03	4:08:53
0.6%	590000	-901.5872151793202	284.78042547139427	1.15e+03	4:08:53
